User ID: 412598, MazePort: 44949, Date & Time: Thu Aug 24 02:02:16 2017
Avatar 0 attempted to move East to (5, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (3, 8).
Avatar 1 moved to (3, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (3, 8).
Avatar 2 moved to (3, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (3, 9).
Avatar 3 moved to (3, 9).
Avatar 4 attempted to move South to (3, 9).
Avatar 4 moved to (3, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (3, 9).
Avatar 5 moved to (3, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (6, 4).
Avatar 6 moved to (6, 4).
Avatar 7 attempted to move North to (6, 4).
Avatar 7 moved to (6, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (3, 9).
Avatar 8 moved to (3, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (3, 9).
Avatar 0 moved to (3, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (3, 9).
Avatar 1 moved to (3, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (3, 9).
Avatar 2 moved to (3, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (4, 9).
Avatar 3 moved to (4, 9).
Avatar 4 attempted to move East to (4, 9).
Avatar 4 moved to (4, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (4, 9).
Avatar 5 moved to (4, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (5, 4).
Move failed. West wall added to (6, 4).
Avatar 7 stays at (6, 4).
Avatar 8 attempted to move East to (4, 9).
Avatar 8 moved to (4, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (4, 9).
Avatar 0 moved to (4, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (4, 9).
Avatar 1 moved to (4, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (4, 9).
Avatar 2 moved to (4, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (5, 9).
Avatar 3 moved to (5, 9).
Avatar 4 attempted to move East to (5, 9).
Avatar 4 moved to (5, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (5, 9).
Avatar 5 moved to (5, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (6, 3).
Avatar 6 moved to (6, 3).
Avatar 7 attempted to move North to (6, 3).
Avatar 7 moved to (6, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (5, 9).
Avatar 8 moved to (5, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (5, 9).
Avatar 0 moved to (5, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (5, 9).
Avatar 1 moved to (5, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (5, 9).
Avatar 2 moved to (5, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (6, 9).
Avatar 3 moved to (6, 9).
Avatar 4 attempted to move East to (6, 9).
Avatar 4 moved to (6, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (6, 9).
Avatar 5 moved to (6, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (6, 2).
Move failed. North wall added to (6, 3).
Avatar 7 stays at (6, 3).
Avatar 8 attempted to move East to (6, 9).
Avatar 8 moved to (6, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (6, 9).
Avatar 0 moved to (6, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (6, 9).
Avatar 1 moved to (6, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (6, 9).
Avatar 2 moved to (6, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (7, 9).
Avatar 3 moved to (7, 9).
Avatar 4 attempted to move East to (7, 9).
Avatar 4 moved to (7, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (7, 9).
Avatar 5 moved to (7, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (5, 3).
Avatar 6 moved to (5, 3).
Avatar 7 attempted to move West to (5, 3).
Avatar 7 moved to (5, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (7, 9).
Avatar 8 moved to (7, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (7, 9).
Avatar 0 moved to (7, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (7, 9).
Avatar 1 moved to (7, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (7, 9).
Avatar 2 moved to (7, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (7, 8).
Avatar 3 moved to (7, 8).
Avatar 4 attempted to move North to (7, 8).
Avatar 4 moved to (7, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (7, 8).
Avatar 5 moved to (7, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (5, 4).
Avatar 6 moved to (5, 4).
Avatar 7 attempted to move South to (5, 4).
Avatar 7 moved to (5, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move North to (7, 8).
Avatar 8 moved to (7, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (7, 8).
Avatar 0 moved to (7, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (7, 8).
Avatar 1 moved to (7, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (7, 8).
Avatar 2 moved to (7, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (7, 9).
Avatar 3 moved to (7, 9).
Avatar 4 attempted to move South to (7, 9).
Avatar 4 moved to (7, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (7, 9).
Avatar 5 moved to (7, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (4, 4).
Avatar 6 moved to (4, 4).
Avatar 7 attempted to move West to (4, 4).
Avatar 7 moved to (4, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (7, 9).
Avatar 8 moved to (7, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (7, 9).
Avatar 0 moved to (7, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (7, 9).
Avatar 1 moved to (7, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (7, 9).
Avatar 2 moved to (7, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move West to (6, 9).
Avatar 3 moved to (6, 9).
Avatar 4 attempted to move West to (6, 9).
Avatar 4 moved to (6, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (6, 9).
Avatar 5 moved to (6, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (4, 3).
Avatar 6 moved to (4, 3).
Avatar 7 attempted to move North to (4, 3).
Avatar 7 moved to (4, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move West to (6, 9).
Avatar 8 moved to (6, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move West to (6, 9).
Avatar 0 moved to (6, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (6, 9).
Avatar 1 moved to (6, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (6, 9).
Avatar 2 moved to (6, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move West to (5, 9).
Avatar 3 moved to (5, 9).
Avatar 4 attempted to move West to (5, 9).
Avatar 4 moved to (5, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (5, 9).
Avatar 5 moved to (5, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (5, 3).
Move failed. East wall added to (4, 3).
Avatar 7 stays at (4, 3).
Avatar 8 attempted to move West to (5, 9).
Avatar 8 moved to (5, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move West to (5, 9).
Avatar 0 moved to (5, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (5, 9).
Avatar 1 moved to (5, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (5, 9).
Avatar 2 moved to (5, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move West to (4, 9).
Avatar 3 moved to (4, 9).
Avatar 4 attempted to move West to (4, 9).
Avatar 4 moved to (4, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (4, 9).
Avatar 5 moved to (4, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (4, 2).
Move failed. North wall added to (4, 3).
Avatar 7 stays at (4, 3).
Avatar 8 attempted to move West to (4, 9).
Avatar 8 moved to (4, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move West to (4, 9).
Avatar 0 moved to (4, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (4, 9).
Avatar 1 moved to (4, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (4, 9).
Avatar 2 moved to (4, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move West to (3, 9).
Avatar 3 moved to (3, 9).
Avatar 4 attempted to move West to (3, 9).
Avatar 4 moved to (3, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (3, 9).
Avatar 5 moved to (3, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (3, 3).
Avatar 6 moved to (3, 3).
Avatar 7 attempted to move West to (3, 3).
Avatar 7 moved to (3, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move West to (3, 9).
Avatar 8 moved to (3, 9).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move West to (3, 9).
Avatar 0 moved to (3, 9).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (3, 9).
Avatar 1 moved to (3, 9).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (3, 9).
Avatar 2 moved to (3, 9).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (3, 8).
Avatar 3 moved to (3, 8).
Avatar 4 attempted to move North to (3, 8).
Avatar 4 moved to (3, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (3, 8).
Avatar 5 moved to (3, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (3, 4).
Avatar 6 moved to (3, 4).
Avatar 7 attempted to move South to (3, 4).
Avatar 7 moved to (3, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move North to (3, 8).
Avatar 8 moved to (3, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (3, 8).
Avatar 0 moved to (3, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (3, 8).
Avatar 1 moved to (3, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (3, 8).
Avatar 2 moved to (3, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (3, 7).
Avatar 3 moved to (3, 7).
Avatar 4 attempted to move North to (3, 7).
Avatar 4 moved to (3, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (3, 7).
Avatar 5 moved to (3, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (4, 4).
Move failed. East wall added to (3, 4).
Avatar 7 stays at (3, 4).
Avatar 8 attempted to move North to (3, 7).
Avatar 8 moved to (3, 7).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (3, 7).
Avatar 0 moved to (3, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (3, 7).
Avatar 1 moved to (3, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (3, 7).
Avatar 2 moved to (3, 7).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (3, 6).
Avatar 3 moved to (3, 6).
Avatar 4 attempted to move North to (3, 6).
Avatar 4 moved to (3, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (3, 6).
Avatar 5 moved to (3, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (2, 4).
Avatar 6 moved to (2, 4).
Avatar 7 attempted to move West to (2, 4).
Avatar 7 moved to (2, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move North to (3, 6).
Avatar 8 moved to (3, 6).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (3, 6).
Avatar 0 moved to (3, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (3, 6).
Avatar 1 moved to (3, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (3, 6).
Avatar 2 moved to (3, 6).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (4, 6).
Avatar 3 moved to (4, 6).
Avatar 4 attempted to move East to (4, 6).
Avatar 4 moved to (4, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (4, 6).
Avatar 5 moved to (4, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (2, 3).
Avatar 6 moved to (2, 3).
Avatar 7 attempted to move North to (2, 3).
Avatar 7 moved to (2, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (4, 6).
Avatar 8 moved to (4, 6).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (4, 6).
Avatar 0 moved to (4, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (4, 6).
Avatar 1 moved to (4, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (4, 6).
Avatar 2 moved to (4, 6).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (4, 7).
Avatar 3 moved to (4, 7).
Avatar 4 attempted to move South to (4, 7).
Avatar 4 moved to (4, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (4, 7).
Avatar 5 moved to (4, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (3, 3).
Move failed. East wall added to (2, 3).
Avatar 7 stays at (2, 3).
Avatar 8 attempted to move South to (4, 7).
Avatar 8 moved to (4, 7).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (4, 7).
Avatar 0 moved to (4, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (4, 7).
Avatar 1 moved to (4, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (4, 7).
Avatar 2 moved to (4, 7).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (4, 8).
Avatar 3 moved to (4, 8).
Avatar 4 attempted to move South to (4, 8).
Avatar 4 moved to (4, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (4, 8).
Avatar 5 moved to (4, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (2, 2).
Move failed. North wall added to (2, 3).
Avatar 7 stays at (2, 3).
Avatar 8 attempted to move South to (4, 8).
Avatar 8 moved to (4, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (4, 8).
Avatar 0 moved to (4, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (4, 8).
Avatar 1 moved to (4, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (4, 8).
Avatar 2 moved to (4, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (5, 8).
Avatar 3 moved to (5, 8).
Avatar 4 attempted to move East to (5, 8).
Avatar 4 moved to (5, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (5, 8).
Avatar 5 moved to (5, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (1, 3).
Avatar 6 moved to (1, 3).
Avatar 7 attempted to move West to (1, 3).
Avatar 7 moved to (1, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (5, 8).
Avatar 8 moved to (5, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (5, 8).
Avatar 0 moved to (5, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (5, 8).
Avatar 1 moved to (5, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (5, 8).
Avatar 2 moved to (5, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (6, 8).
Avatar 3 moved to (6, 8).
Avatar 4 attempted to move East to (6, 8).
Avatar 4 moved to (6, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (6, 8).
Avatar 5 moved to (6, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (1, 4).
Avatar 6 moved to (1, 4).
Avatar 7 attempted to move South to (1, 4).
Avatar 7 moved to (1, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (6, 8).
Avatar 8 moved to (6, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (6, 8).
Avatar 0 moved to (6, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (6, 8).
Avatar 1 moved to (6, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (6, 8).
Avatar 2 moved to (6, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (6, 7).
Avatar 3 moved to (6, 7).
Avatar 4 attempted to move North to (6, 7).
Avatar 4 moved to (6, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (6, 7).
Avatar 5 moved to (6, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (2, 4).
Move failed. East wall added to (1, 4).
Avatar 7 stays at (1, 4).
Avatar 8 attempted to move North to (6, 7).
Avatar 8 moved to (6, 7).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (6, 7).
Avatar 0 moved to (6, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (6, 7).
Avatar 1 moved to (6, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (6, 7).
Avatar 2 moved to (6, 7).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (7, 7).
Avatar 3 moved to (7, 7).
Avatar 4 attempted to move East to (7, 7).
Avatar 4 moved to (7, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (7, 7).
Avatar 5 moved to (7, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move West to (0, 4).
Avatar 6 moved to (0, 4).
Avatar 7 attempted to move West to (0, 4).
Avatar 7 moved to (0, 4).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (7, 7).
Avatar 8 moved to (7, 7).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (7, 7).
Avatar 0 moved to (7, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (7, 7).
Avatar 1 moved to (7, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (7, 7).
Avatar 2 moved to (7, 7).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (7, 6).
Avatar 3 moved to (7, 6).
Avatar 4 attempted to move North to (7, 6).
Avatar 4 moved to (7, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (7, 6).
Avatar 5 moved to (7, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (0, 3).
Avatar 6 moved to (0, 3).
Avatar 7 attempted to move North to (0, 3).
Avatar 7 moved to (0, 3).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move North to (7, 6).
Avatar 8 moved to (7, 6).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (7, 6).
Avatar 0 moved to (7, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (7, 6).
Avatar 1 moved to (7, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (7, 6).
Avatar 2 moved to (7, 6).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move North to (7, 5).
Avatar 3 moved to (7, 5).
Avatar 4 attempted to move North to (7, 5).
Avatar 4 moved to (7, 5).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move North to (7, 5).
Avatar 5 moved to (7, 5).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (1, 3).
Move failed. East wall added to (0, 3).
Avatar 7 stays at (0, 3).
Avatar 8 attempted to move North to (7, 5).
Avatar 8 moved to (7, 5).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move North to (7, 5).
Avatar 0 moved to (7, 5).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move North to (7, 5).
Avatar 1 moved to (7, 5).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move North to (7, 5).
Avatar 2 moved to (7, 5).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (8, 5).
Avatar 3 moved to (8, 5).
Avatar 4 attempted to move East to (8, 5).
Avatar 4 moved to (8, 5).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (8, 5).
Avatar 5 moved to (8, 5).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (0, 2).
Avatar 6 moved to (0, 2).
Avatar 7 attempted to move North to (0, 2).
Avatar 7 moved to (0, 2).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (8, 5).
Avatar 8 moved to (8, 5).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (8, 5).
Avatar 0 moved to (8, 5).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (8, 5).
Avatar 1 moved to (8, 5).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (8, 5).
Avatar 2 moved to (8, 5).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (9, 5).
Avatar 3 moved to (9, 5).
Avatar 4 attempted to move East to (9, 5).
Avatar 4 moved to (9, 5).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (9, 5).
Avatar 5 moved to (9, 5).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (1, 2).
Avatar 6 moved to (1, 2).
Avatar 7 attempted to move East to (1, 2).
Avatar 7 moved to (1, 2).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move East to (9, 5).
Avatar 8 moved to (9, 5).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (9, 5).
Avatar 0 moved to (9, 5).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (9, 5).
Avatar 1 moved to (9, 5).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (9, 5).
Avatar 2 moved to (9, 5).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (9, 6).
Avatar 3 moved to (9, 6).
Avatar 4 attempted to move South to (9, 6).
Avatar 4 moved to (9, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (9, 6).
Avatar 5 moved to (9, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (2, 2).
Avatar 6 moved to (2, 2).
Avatar 7 attempted to move East to (2, 2).
Avatar 7 moved to (2, 2).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (9, 6).
Avatar 8 moved to (9, 6).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (9, 6).
Avatar 0 moved to (9, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (9, 6).
Avatar 1 moved to (9, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (9, 6).
Avatar 2 moved to (9, 6).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move West to (8, 6).
Avatar 3 moved to (8, 6).
Avatar 4 attempted to move West to (8, 6).
Avatar 4 moved to (8, 6).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move West to (8, 6).
Avatar 5 moved to (8, 6).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (3, 2).
Move failed. East wall added to (2, 2).
Avatar 7 stays at (2, 2).
Avatar 8 attempted to move West to (8, 6).
Avatar 8 moved to (8, 6).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move West to (8, 6).
Avatar 0 moved to (8, 6).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move West to (8, 6).
Avatar 1 moved to (8, 6).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move West to (8, 6).
Avatar 2 moved to (8, 6).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (8, 7).
Avatar 3 moved to (8, 7).
Avatar 4 attempted to move South to (8, 7).
Avatar 4 moved to (8, 7).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (8, 7).
Avatar 5 moved to (8, 7).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move North to (2, 1).
Avatar 6 moved to (2, 1).
Avatar 7 attempted to move North to (2, 1).
Avatar 7 moved to (2, 1).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (8, 7).
Avatar 8 moved to (8, 7).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (8, 7).
Avatar 0 moved to (8, 7).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (8, 7).
Avatar 1 moved to (8, 7).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (8, 7).
Avatar 2 moved to (8, 7).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (8, 8).
Avatar 3 moved to (8, 8).
Avatar 4 attempted to move South to (8, 8).
Avatar 4 moved to (8, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (8, 8).
Avatar 5 moved to (8, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (3, 1).
Avatar 6 moved to (3, 1).
Avatar 7 attempted to move East to (3, 1).
Avatar 7 moved to (3, 1).
Avatar 7 is on avatar 6's path.
Avatar 8 attempted to move South to (8, 8).
Avatar 8 moved to (8, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move South to (8, 8).
Avatar 0 moved to (8, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move South to (8, 8).
Avatar 1 moved to (8, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move South to (8, 8).
Avatar 2 moved to (8, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move East to (9, 8).
Avatar 3 moved to (9, 8).
Avatar 4 attempted to move East to (9, 8).
Avatar 4 moved to (9, 8).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move East to (9, 8).
Avatar 5 moved to (9, 8).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move East to (4, 1).
Move failed. East wall added to (3, 1).
Avatar 7 stays at (3, 1).
Avatar 8 attempted to move East to (9, 8).
Avatar 8 moved to (9, 8).
Avatar 8 is on avatar 3's path.
Avatar 0 attempted to move East to (9, 8).
Avatar 0 moved to (9, 8).
Avatar 0 is on avatar 3's path.
Avatar 1 attempted to move East to (9, 8).
Avatar 1 moved to (9, 8).
Avatar 1 is on avatar 3's path.
Avatar 2 attempted to move East to (9, 8).
Avatar 2 moved to (9, 8).
Avatar 2 is on avatar 3's path.
Avatar 3 attempted to move South to (9, 9).
Avatar 3 moved to (9, 9).
Avatar 4 attempted to move South to (9, 9).
Avatar 4 moved to (9, 9).
Avatar 4 is on avatar 3's path.
Avatar 5 attempted to move South to (9, 9).
Avatar 5 moved to (9, 9).
Avatar 5 is on avatar 3's path.
Avatar 6 attempted to move South to (3, 2).
Avatar 6 moved to (3, 2).
